Date,Open,High,Low,Close,Volume,Ticker,ATR_14,RSI_14,P/E,Market_Cap,MA20,MA200,Sector
2024-12-16,378.553,379.098,374.577,375.727,1311100,CAT,7.627,26.777,19.417,187387609088,390.019,353.749,Industrials
2024-12-17,372.861,375.697,370.68,372.633,2138700,CAT,7.283,23.646,19.417,187387609088,389.59,353.952,Industrials
2024-12-18,375.509,377.948,359.971,360.824,2820700,CAT,8.709,15.608,19.417,187387609088,388.676,354.121,Industrials
2024-12-19,365.335,366.456,356.976,357.333,2616700,CAT,8.812,13.987,19.417,187387609088,387.628,354.262,Industrials
2024-12-20,355.479,368.359,354.23,362.955,5142000,CAT,9.521,27.906,19.417,187387609088,386.461,354.409,Industrials
2024-12-23,361.795,363.263,358.454,362.311,1804900,CAT,8.892,27.321,19.417,187387609088,384.869,354.558,Industrials
2024-12-24,361.379,364.473,359.604,364.473,886000,CAT,8.356,32.773,19.417,187387609088,382.981,354.738,Industrials
2024-12-26,361.974,364.393,360.804,364.026,1097900,CAT,7.731,32.198,19.417,187387609088,380.963,354.905,Industrials
2024-12-27,360.328,364.304,358.702,361.785,1245800,CAT,7.447,29.225,19.417,187387609088,379.037,355.04,Industrials
2024-12-30,357.393,361.746,355.717,359.951,1422200,CAT,7.263,26.881,19.417,187387609088,376.9,355.163,Industrials
2024-12-31,360.437,362.688,358.751,359.703,1168100,CAT,6.82,26.549,19.417,187387609088,374.93,355.261,Industrials
2025-01-02,362.43,365.742,355.072,356.738,1802600,CAT,7.333,22.682,19.417,187387609088,372.972,355.319,Industrials
2025-01-03,358.543,361.409,356.461,360.724,1390800,CAT,7.015,36.932,19.417,187387609088,371.201,355.388,Industrials
2025-01-06,363.907,367.715,359.525,361.131,1590700,CAT,7.172,38.27,19.417,187387609088,369.675,355.446,Industrials
2025-01-07,361.061,363.005,358.047,359.941,1607400,CAT,6.877,35.71,19.417,187387609088,368.087,355.459,Industrials
2025-01-08,359.396,359.822,354.686,358.027,1828800,CAT,6.66,31.767,19.417,187387609088,366.193,355.494,Industrials
2025-01-10,354.815,356.818,346.852,348.042,2773900,CAT,7.262,19.081,19.417,187387609088,364.34,355.489,Industrials
2025-01-13,349.986,360.139,348.835,359.445,2746000,CAT,7.907,46.98,19.417,187387609088,363.032,355.539,Industrials
2025-01-14,362.41,368.865,362.103,368.439,2331700,CAT,8.109,59.643,19.417,187387609088,362.576,355.594,Industrials
2025-01-15,375.945,376.738,371.176,371.731,1984500,CAT,8.134,63.341,19.417,187387609088,362.297,355.656,Industrials
2025-01-16,373.139,378.206,371.562,377.343,1974700,CAT,7.935,68.939,19.417,187387609088,362.378,355.759,Industrials
2025-01-17,381.458,383.59,378.781,382.767,2605900,CAT,7.71,73.459,19.417,187387609088,362.884,355.885,Industrials
2025-01-21,389.126,400.651,388.927,396.451,3144500,CAT,9.067,81.356,19.417,187387609088,364.666,356.025,Industrials
2025-01-22,396.77,398.561,393.217,395.705,1994800,CAT,8.57,79.861,19.417,187387609088,366.584,356.191,Industrials
2025-01-23,395.466,407.627,395.366,404.453,2587400,CAT,9.063,83.87,19.417,187387609088,368.659,356.354,Industrials
2025-01-24,403.786,407.438,403.338,405.677,1938200,CAT,8.401,84.373,19.417,187387609088,370.828,356.551,Industrials
2025-01-27,395.287,397.625,388.052,393.087,2964400,CAT,9.631,61.604,19.417,187387609088,372.258,356.693,Industrials
2025-01-28,392.152,394.978,384.628,388.42,1788900,CAT,9.727,55.228,19.417,187387609088,373.478,356.811,Industrials
2025-01-29,390.062,397.446,389.246,391.346,2675800,CAT,9.633,58.347,19.417,187387609088,374.956,356.945,Industrials
2025-01-30,371.71,378.985,371.372,373.183,4234600,CAT,11.012,38.928,19.417,187387609088,375.618,357.018,Industrials
2025-01-31,375.651,376.189,369.501,369.66,2859000,CAT,10.435,36.229,19.417,187387609088,376.115,357.083,Industrials
2025-02-03,362.395,366.784,357.966,359.818,3079300,CAT,10.603,29.612,19.417,187387609088,376.269,357.117,Industrials
2025-02-04,367.889,367.889,357.688,360.216,2709800,CAT,10.55,30.207,19.417,187387609088,376.244,357.162,Industrials
2025-02-05,361.131,361.261,355.488,357.13,2134200,CAT,9.913,28.084,19.417,187387609088,376.044,357.193,Industrials
2025-02-06,362.156,365.779,360.783,363.699,3007000,CAT,9.744,38.671,19.417,187387609088,376.232,357.267,Industrials
2025-02-07,367.481,367.759,360.843,362.136,1804800,CAT,9.367,37.169,19.417,187387609088,376.437,357.318,Industrials
2025-02-10,363.579,364.485,359.817,361.479,1944400,CAT,8.74,36.482,19.417,187387609088,377.109,357.338,Industrials
2025-02-11,360.007,362.674,359.25,360.494,1516900,CAT,8.032,35.351,19.417,187387609088,377.162,357.352,Industrials
2025-02-12,355.289,357.21,349.756,350.353,2833100,CAT,8.392,25.836,19.417,187387609088,376.257,357.441,Industrials
2025-02-13,350.881,355.876,348.741,352.005,3547200,CAT,8.225,29.407,19.417,187387609088,375.271,357.511,Industrials
2025-02-14,354.891,357.16,351.109,351.627,2045300,CAT,7.935,29.038,19.417,187387609088,373.985,357.548,Industrials
2025-02-18,353.767,355.22,349.428,352.304,3120200,CAT,7.649,30.832,19.417,187387609088,372.462,357.664,Industrials
2025-02-19,350.184,352.154,347.915,351.308,2211000,CAT,7.215,29.564,19.417,187387609088,370.205,357.791,Industrials
2025-02-20,353.299,355.14,345.785,347.477,2174100,CAT,7.5,24.997,19.417,187387609088,367.794,357.878,Industrials
2025-02-21,348.85,350.313,335.982,338.411,3225200,CAT,8.411,17.581,19.417,187387609088,364.492,357.914,Industrials
2025-02-24,341.745,343.795,334.619,337.296,2513300,CAT,8.513,16.871,19.417,187387609088,361.072,357.917,Industrials
2025-02-25,339.366,342.581,334.768,340.719,3323500,CAT,8.419,27.279,19.417,187387609088,358.454,357.923,Industrials
2025-02-26,343.795,347.109,338.49,340.938,2397800,CAT,8.446,27.944,19.417,187387609088,356.08,357.933,Industrials
2025-02-27,342.003,345.258,336.838,338.371,1971000,CAT,8.442,24.865,19.417,187387609088,353.431,357.894,Industrials
2025-02-28,340.341,343.247,337.117,342.302,3210300,CAT,8.134,37.109,19.417,187387609088,351.887,357.86,Industrials
2025-03-03,345.964,346.482,328.449,330.449,2569700,CAT,9.454,23.682,19.417,187387609088,349.927,357.757,Industrials
2025-03-04,325.821,330.33,317.153,325.184,3500200,CAT,9.966,19.978,19.417,187387609088,348.195,357.621,Industrials
2025-03-05,327.543,337.883,327.075,336.868,3189100,CAT,10.331,42.864,19.417,187387609088,347.028,357.534,Industrials
2025-03-06,333.663,340.272,330.927,339.376,2234100,CAT,10.199,46.644,19.417,187387609088,346.14,357.505,Industrials
2025-03-07,337.774,350.433,337.774,348.621,3063800,CAT,10.527,58.36,19.417,187387609088,345.386,357.495,Industrials
2025-03-10,343.347,350.721,340.212,343.556,2809100,CAT,10.525,51.246,19.417,187387609088,344.457,357.428,Industrials
2025-03-11,342.272,343.496,334.758,338.142,3190900,CAT,10.295,44.549,19.417,187387609088,343.29,357.352,Industrials
2025-03-12,341.386,343.257,333.843,336.51,1816700,CAT,10.177,42.612,19.417,187387609088,342.091,357.284,Industrials
